,0
2025-10-16 06:30:00+02:00,139.29
2025-10-16 06:45:00+02:00,168.8
2025-10-16 07:00:00+02:00,131.98
2025-10-16 07:15:00+02:00,137.94
2025-10-16 07:30:00+02:00,141.57
2025-10-16 07:45:00+02:00,148.5
2025-10-16 08:00:00+02:00,168.39
2025-10-16 08:15:00+02:00,154.08
2025-10-16 08:30:00+02:00,133.21
2025-10-16 08:45:00+02:00,104.1
2025-10-16 09:00:00+02:00,147.5
2025-10-16 09:15:00+02:00,133.75
2025-10-16 09:30:00+02:00,106.38
2025-10-16 09:45:00+02:00,96.33
2025-10-16 10:00:00+02:00,122.39
2025-10-16 10:15:00+02:00,97.95
2025-10-16 10:30:00+02:00,89.4
2025-10-16 10:45:00+02:00,76.01
2025-10-16 11:00:00+02:00,111.92
2025-10-16 11:15:00+02:00,88.37
2025-10-16 11:30:00+02:00,94.47
2025-10-16 11:45:00+02:00,85.33
2025-10-16 12:00:00+02:00,97.73
2025-10-16 12:15:00+02:00,96.67
2025-10-16 12:30:00+02:00,88.02
2025-10-16 12:45:00+02:00,86.94
2025-10-16 13:00:00+02:00,88.85
2025-10-16 13:15:00+02:00,90.06
2025-10-16 13:30:00+02:00,96.4
2025-10-16 13:45:00+02:00,95.79
2025-10-16 14:00:00+02:00,79.7
2025-10-16 14:15:00+02:00,86.7
2025-10-16 14:30:00+02:00,97.59
2025-10-16 14:45:00+02:00,108.2
2025-10-16 15:00:00+02:00,76.36
2025-10-16 15:15:00+02:00,92.18
2025-10-16 15:30:00+02:00,106.57
2025-10-16 15:45:00+02:00,114.27
2025-10-16 16:00:00+02:00,99.04
2025-10-16 16:15:00+02:00,106.99
2025-10-16 16:30:00+02:00,128.2
2025-10-16 16:45:00+02:00,149.74
2025-10-16 17:00:00+02:00,117.97
2025-10-16 17:15:00+02:00,130.7
2025-10-16 17:30:00+02:00,140.41
2025-10-16 17:45:00+02:00,172.31
2025-10-16 18:00:00+02:00,128.53
2025-10-16 18:15:00+02:00,133.57
2025-10-16 18:30:00+02:00,151.53
2025-10-16 18:45:00+02:00,166.59
2025-10-16 19:00:00+02:00,148.44
2025-10-16 19:15:00+02:00,151.81
2025-10-16 19:30:00+02:00,152.86
2025-10-16 19:45:00+02:00,139.48
2025-10-16 20:00:00+02:00,153.54
2025-10-16 20:15:00+02:00,137.01
2025-10-16 20:30:00+02:00,131.89
2025-10-16 20:45:00+02:00,112.0
2025-10-16 21:00:00+02:00,135.92
2025-10-16 21:15:00+02:00,131.85
2025-10-16 21:30:00+02:00,113.75
2025-10-16 21:45:00+02:00,102.5
2025-10-16 22:00:00+02:00,131.94
2025-10-16 22:15:00+02:00,114.71
2025-10-16 22:30:00+02:00,112.65
2025-10-16 22:45:00+02:00,106.61
2025-10-16 23:00:00+02:00,114.5
2025-10-16 23:15:00+02:00,105.51
2025-10-16 23:30:00+02:00,93.97
2025-10-16 23:45:00+02:00,86.16
2025-10-17 00:00:00+02:00,101.59
2025-10-17 00:15:00+02:00,99.49
2025-10-17 00:30:00+02:00,98.13
2025-10-17 00:45:00+02:00,97.44
2025-10-17 01:00:00+02:00,101.36
2025-10-17 01:15:00+02:00,98.9
2025-10-17 01:30:00+02:00,96.96
2025-10-17 01:45:00+02:00,94.07
2025-10-17 02:00:00+02:00,97.5
2025-10-17 02:15:00+02:00,94.1
2025-10-17 02:30:00+02:00,96.79
2025-10-17 02:45:00+02:00,97.6
2025-10-17 03:00:00+02:00,93.54
2025-10-17 03:15:00+02:00,100.2
2025-10-17 03:30:00+02:00,94.9
2025-10-17 03:45:00+02:00,98.4
2025-10-17 04:00:00+02:00,89.41
2025-10-17 04:15:00+02:00,98.4
2025-10-17 04:30:00+02:00,97.27
2025-10-17 04:45:00+02:00,99.45
2025-10-17 05:00:00+02:00,91.96
2025-10-17 05:15:00+02:00,98.4
2025-10-17 05:30:00+02:00,108.39
2025-10-17 05:45:00+02:00,117.99
2025-10-17 06:00:00+02:00,109.1
2025-10-17 06:15:00+02:00,122.33
