,Biomass,Energy storage,Energy storage,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2025-12-10 00:30:00+01:00,394.04,14.47,14.47,1599.25,0.67,67.0,331.62,331.62,5093.13,868.8,51189.87,0.0,361.11,1149.89,8659.99
2025-12-10 00:45:00+01:00,397.06,4.08,4.08,1575.01,0.67,66.99,331.68,331.68,5071.44,729.3,50622.38,0.0,361.81,1111.3,8350.26
2025-12-10 01:00:00+01:00,395.36,11.87,11.87,1547.03,0.66,67.0,378.78,378.78,4982.87,713.96,51144.64,0.0,360.7,1133.06,8085.61
2025-12-10 01:15:00+01:00,394.61,5.99,5.99,1591.08,0.67,67.0,421.45,421.45,4954.24,713.38,50896.98,0.0,359.73,1183.71,7722.62
2025-12-10 01:30:00+01:00,394.31,6.3,6.3,1620.15,0.67,67.0,463.91,463.91,4939.46,659.48,50861.99,0.0,360.52,1255.17,7467.3
2025-12-10 01:45:00+01:00,394.11,5.65,5.65,1594.54,0.67,67.0,359.05,359.05,4985.8,641.21,50551.89,0.0,360.83,1248.9,7232.57
2025-12-10 02:00:00+01:00,394.45,37.32,37.32,1576.36,0.67,67.0,367.75,367.75,4975.28,612.99,50731.87,0.0,360.48,1228.1,6982.45
2025-12-10 02:15:00+01:00,394.16,27.85,27.85,1615.67,0.67,67.03,353.07,353.07,4992.62,613.9,50410.93,0.0,360.71,1205.86,6723.62
2025-12-10 02:30:00+01:00,394.56,30.45,30.45,1606.98,0.67,67.17,346.85,346.85,5025.36,613.09,50220.58,0.0,360.38,1207.74,6473.48
2025-12-10 02:45:00+01:00,394.64,31.77,31.77,1575.48,0.67,67.02,209.32,209.32,5006.26,616.61,49549.66,0.0,362.03,1214.03,6267.82
2025-12-10 03:00:00+01:00,396.23,9.25,9.25,1596.01,0.67,67.0,217.23,217.23,5027.76,716.65,48859.36,0.0,362.64,1188.16,6130.49
2025-12-10 03:15:00+01:00,397.33,2.15,2.15,1621.97,0.66,67.0,253.68,253.68,5037.28,723.84,48827.83,0.0,362.36,1157.85,6128.76
2025-12-10 03:30:00+01:00,395.84,2.66,2.66,1598.64,0.66,67.03,253.3,253.3,5051.52,774.19,48642.2,0.0,358.25,1085.47,6135.33
2025-12-10 03:45:00+01:00,394.34,2.68,2.68,1583.52,0.68,67.83,212.21,212.21,5057.8,764.75,48300.85,0.0,360.03,1030.94,6155.13
2025-12-10 04:00:00+01:00,392.83,2.28,2.28,1620.45,0.67,67.33,163.66,163.66,5031.32,804.76,47841.15,0.0,361.87,989.69,6146.15
2025-12-10 04:15:00+01:00,393.84,1.1,1.1,1624.48,0.67,67.19,105.37,105.37,5019.24,826.65,47660.68,0.0,363.07,973.92,6148.73
2025-12-10 04:30:00+01:00,393.33,3.09,3.09,1615.78,0.66,67.21,102.99,102.99,5011.08,834.56,47728.47,0.0,361.04,970.45,6118.35
2025-12-10 04:45:00+01:00,392.49,0.83,0.83,1600.77,0.67,67.0,103.1,103.1,4998.89,811.79,47748.07,0.0,361.64,958.48,5993.27
2025-12-10 05:00:00+01:00,393.81,13.56,13.56,1626.64,0.66,66.98,102.92,102.92,5042.78,833.15,48385.65,0.0,357.52,953.73,5847.15
2025-12-10 05:15:00+01:00,394.19,0.68,0.68,1618.66,0.67,67.01,103.14,103.14,5038.9,828.36,49070.8,0.0,357.78,932.74,5623.38
2025-12-10 05:30:00+01:00,393.25,2.76,2.76,1582.33,0.66,67.0,103.25,103.25,5147.94,846.49,49706.0,0.0,360.33,987.73,5336.52
2025-12-10 05:45:00+01:00,393.74,1.71,1.71,1619.73,0.66,67.0,103.29,103.29,5181.72,807.17,50178.39,0.0,359.79,997.31,5308.26
2025-12-10 06:00:00+01:00,394.22,17.67,17.67,1628.69,0.7,67.0,114.25,114.25,5245.97,970.43,50679.15,0.0,359.54,929.71,5260.77
2025-12-10 06:15:00+01:00,395.95,11.87,11.87,1614.57,0.66,69.87,117.67,117.67,5290.94,1087.41,51108.41,0.0,357.98,909.37,5167.74
2025-12-10 06:30:00+01:00,395.39,16.74,16.74,1580.53,0.66,70.76,132.81,132.81,5365.78,1360.51,51895.89,0.0,357.05,956.77,5047.15
2025-12-10 06:45:00+01:00,395.3,12.36,12.36,1647.32,0.66,70.76,211.72,211.72,5473.77,1643.86,52452.66,0.0,358.88,969.41,4974.0
2025-12-10 07:00:00+01:00,395.57,12.82,12.82,1729.08,0.65,70.92,278.85,278.85,5512.44,1627.5,52830.93,0.0,358.83,914.88,4977.15
2025-12-10 07:15:00+01:00,395.32,13.66,13.66,1768.96,0.65,70.74,303.64,303.64,5517.03,2040.64,53145.99,0.0,359.57,848.25,4880.68
2025-12-10 07:30:00+01:00,396.05,11.83,11.83,1772.82,0.65,70.66,424.66,424.66,5527.63,2481.69,53213.87,0.0,359.99,814.9,4805.25
2025-12-10 07:45:00+01:00,395.84,10.99,10.99,1824.97,0.66,70.99,1184.02,1184.02,5549.56,2583.89,53245.39,0.0,360.09,827.76,4710.08
2025-12-10 08:00:00+01:00,397.13,26.2,26.2,1863.79,0.67,71.0,1559.93,1559.93,5722.77,2854.74,53249.01,280.19,359.31,825.68,4637.89
2025-12-10 08:15:00+01:00,396.06,33.89,33.89,1942.26,0.67,70.24,2252.09,2252.09,5876.88,3044.9,53228.13,327.97,358.79,767.68,4685.75
2025-12-10 08:30:00+01:00,394.65,45.19,45.19,2109.47,0.65,70.42,2541.51,2541.51,5932.62,3163.63,53232.77,389.13,357.76,741.51,4710.82
2025-12-10 08:45:00+01:00,391.11,33.94,33.94,2243.25,0.65,70.26,2625.22,2625.22,5945.99,3204.36,53224.02,477.25,360.02,745.66,4697.54
2025-12-10 09:00:00+01:00,392.94,8.88,8.88,2216.1,0.65,70.48,2589.99,2589.99,5939.45,3103.39,53220.21,657.12,357.72,763.09,4625.8
2025-12-10 09:15:00+01:00,392.71,11.6,11.6,2310.4,0.66,70.52,2563.09,2563.09,5957.22,3183.88,53232.0,1004.3,359.29,768.8,4479.38
2025-12-10 09:30:00+01:00,390.78,4.71,4.71,2511.87,0.66,70.39,2392.58,2392.58,5980.41,3237.77,53240.66,1415.23,355.14,754.03,4359.63
2025-12-10 09:45:00+01:00,392.88,5.45,5.45,2655.08,0.67,70.96,1909.06,1909.06,5964.18,3119.21,53275.28,1858.1,355.85,760.21,4246.23
2025-12-10 10:00:00+01:00,390.87,9.28,9.28,2619.0,0.68,71.0,1863.08,1863.08,5756.38,2783.48,53236.18,2287.4,357.63,817.34,4188.06
2025-12-10 10:15:00+01:00,392.23,19.52,19.52,2609.55,0.65,71.0,1811.33,1811.33,5730.93,2800.58,52742.84,2676.97,355.97,850.63,4125.09
2025-12-10 10:30:00+01:00,392.06,53.87,53.87,2580.78,0.67,70.7,1729.8,1729.8,5726.56,2750.59,52731.52,3092.47,356.93,853.03,4062.04
2025-12-10 10:45:00+01:00,391.51,17.17,17.17,2498.81,0.66,70.29,1614.03,1614.03,5660.09,2523.22,53135.75,3234.19,355.5,809.44,3974.91
2025-12-10 11:00:00+01:00,392.52,45.17,45.17,2483.72,0.67,70.77,1286.46,1286.46,5541.88,2600.65,53218.27,3469.4,355.29,763.35,3878.38
2025-12-10 11:15:00+01:00,392.79,26.09,26.09,2496.49,0.66,70.16,1239.09,1239.09,5461.82,2550.67,53169.49,3711.33,355.66,768.7,3828.6
2025-12-10 11:30:00+01:00,391.92,5.62,5.62,2551.79,0.66,70.63,1270.15,1270.15,5482.39,2589.71,53206.63,3906.67,350.25,774.87,3790.32
2025-12-10 11:45:00+01:00,391.76,2.28,2.28,2554.84,0.66,70.18,1299.98,1299.98,5515.3,2553.98,53202.88,4008.47,349.73,780.22,3808.39
2025-12-10 12:00:00+01:00,391.75,0.82,0.82,2473.89,0.66,70.14,1252.9,1252.9,5448.58,2632.67,53177.32,4154.9,350.01,756.71,3869.12
2025-12-10 12:15:00+01:00,391.96,9.63,9.63,2507.03,0.67,70.59,1278.48,1278.48,5440.95,2959.65,53213.94,4178.85,344.36,715.96,3793.49
2025-12-10 12:30:00+01:00,392.35,8.4,8.4,2646.17,0.66,70.94,1347.34,1347.34,5452.24,3243.17,53232.94,4226.1,338.05,655.36,3795.17
2025-12-10 12:45:00+01:00,391.8,0.95,0.95,2687.86,0.68,71.0,1006.07,1006.07,5461.15,3139.4,53216.46,4291.31,337.84,609.98,3787.85
2025-12-10 13:00:00+01:00,392.81,0.75,0.75,2560.27,0.68,70.99,789.42,789.42,5441.0,2729.6,53201.27,4358.85,338.22,589.89,3777.55
2025-12-10 13:15:00+01:00,392.28,3.78,3.78,2564.01,0.67,71.0,412.3,412.3,5482.31,2522.39,53216.58,4274.34,346.03,553.31,3684.3
2025-12-10 13:30:00+01:00,391.26,8.51,8.51,2627.5,0.67,70.91,440.0,440.0,5475.27,2548.02,53233.89,4133.81,351.47,522.95,3615.0
2025-12-10 13:45:00+01:00,391.73,1.39,1.39,2692.32,0.67,70.62,399.28,399.28,5464.95,2475.54,53225.11,3866.92,355.53,522.89,3530.23
2025-12-10 14:00:00+01:00,391.47,7.41,7.41,2761.82,0.69,70.74,379.43,379.43,5495.01,2476.47,53228.63,3657.16,356.94,553.25,3397.65
2025-12-10 14:15:00+01:00,391.36,9.39,9.39,2836.03,0.69,71.0,439.83,439.83,5519.3,2616.63,53292.64,3426.58,357.52,579.15,3265.49
2025-12-10 14:30:00+01:00,393.1,9.09,9.09,2913.73,0.7,70.94,389.91,389.91,5505.81,2542.23,53278.21,3155.33,350.14,636.74,3207.62
2025-12-10 14:45:00+01:00,392.34,9.08,9.08,2933.54,0.71,70.9,376.48,376.48,5508.89,2392.38,53250.38,2747.82,348.59,647.32,3159.49
2025-12-10 15:00:00+01:00,391.85,15.49,15.49,3074.35,0.71,71.0,822.79,822.79,5535.28,2648.41,53293.59,2427.67,350.34,590.84,3111.12
2025-12-10 15:15:00+01:00,390.71,13.53,13.53,3198.28,0.69,71.0,1045.3,1045.3,5498.91,2667.61,53327.0,2088.02,349.37,560.87,2988.41
2025-12-10 19:15:00+01:00,390.56,55.73,55.73,4796.56,0.69,70.59,3259.24,3259.24,6846.41,4528.15,53264.72,0.0,361.63,133.58,2421.35
2025-12-10 19:30:00+01:00,389.98,54.6,54.6,4795.21,0.67,70.48,2946.43,2946.43,6795.24,4119.46,53208.49,0.0,360.13,157.44,2291.51
2025-12-10 19:45:00+01:00,389.05,56.79,56.79,4793.45,0.67,70.64,3046.93,3046.93,6776.7,4165.21,53280.22,0.0,359.57,183.29,2166.41
2025-12-10 20:00:00+01:00,391.81,23.98,23.98,4650.55,0.68,70.67,2938.86,2938.86,6545.83,4102.74,53315.25,0.0,357.81,183.0,2094.48
2025-12-10 20:15:00+01:00,390.57,15.87,15.87,4341.88,0.7,70.37,2880.58,2880.58,6497.49,3956.97,53264.06,0.0,358.13,184.85,1989.91
