,Actual Load
2025-12-10 00:30:00+01:00,50679.52
2025-12-10 00:45:00+01:00,49567.25
2025-12-10 01:00:00+01:00,49721.81
2025-12-10 01:15:00+01:00,49210.43
2025-12-10 01:30:00+01:00,49091.79
2025-12-10 01:45:00+01:00,48416.93
2025-12-10 02:00:00+01:00,48647.83
2025-12-10 02:15:00+01:00,47910.06
2025-12-10 02:30:00+01:00,47212.91
2025-12-10 02:45:00+01:00,46360.8
2025-12-10 03:00:00+01:00,46079.54
2025-12-10 03:15:00+01:00,45479.18
2025-12-10 03:30:00+01:00,45105.34
2025-12-10 03:45:00+01:00,44811.05
2025-12-10 04:00:00+01:00,44929.53
2025-12-10 04:15:00+01:00,44790.52
2025-12-10 04:30:00+01:00,44808.12
2025-12-10 04:45:00+01:00,44931.45
2025-12-10 05:00:00+01:00,46261.8
2025-12-10 05:15:00+01:00,46818.8
2025-12-10 05:30:00+01:00,47576.91
2025-12-10 05:45:00+01:00,48377.11
2025-12-10 06:00:00+01:00,50304.34
2025-12-10 06:15:00+01:00,51422.64
2025-12-10 06:30:00+01:00,52529.25
2025-12-10 06:45:00+01:00,53788.83
2025-12-10 07:00:00+01:00,55336.18
2025-12-10 07:15:00+01:00,56506.98
2025-12-10 07:30:00+01:00,57140.03
2025-12-10 07:45:00+01:00,57933.63
2025-12-10 08:00:00+01:00,58318.66
2025-12-10 08:15:00+01:00,58749.38
2025-12-10 08:30:00+01:00,59042.4
2025-12-10 08:45:00+01:00,59057.08
2025-12-10 09:00:00+01:00,59117.57
2025-12-10 09:15:00+01:00,59206.29
2025-12-10 09:30:00+01:00,59369.71
2025-12-10 09:45:00+01:00,59332.55
2025-12-10 10:00:00+01:00,59373.52
2025-12-10 10:15:00+01:00,59336.16
2025-12-10 10:30:00+01:00,59452.93
2025-12-10 10:45:00+01:00,59408.54
2025-12-10 11:00:00+01:00,59634.21
2025-12-10 11:15:00+01:00,59725.48
2025-12-10 11:30:00+01:00,59963.07
2025-12-10 11:45:00+01:00,60424.38
2025-12-10 12:00:00+01:00,60910.89
2025-12-10 12:15:00+01:00,60823.86
2025-12-10 12:30:00+01:00,61560.47
2025-12-10 12:45:00+01:00,60967.32
2025-12-10 13:00:00+01:00,60687.2
2025-12-10 13:15:00+01:00,59951.66
2025-12-10 13:30:00+01:00,59479.14
2025-12-10 13:45:00+01:00,58958.4
2025-12-10 14:00:00+01:00,59262.47
2025-12-10 14:15:00+01:00,58761.36
2025-12-10 14:30:00+01:00,58394.61
2025-12-10 14:45:00+01:00,57935.48
2025-12-10 15:00:00+01:00,58010.08
2025-12-10 15:15:00+01:00,57543.06
2025-12-10 19:15:00+01:00,62154.52
2025-12-10 19:30:00+01:00,61552.89
2025-12-10 19:45:00+01:00,60699.39
2025-12-10 20:00:00+01:00,60030.56
2025-12-10 20:15:00+01:00,59008.39
2025-12-10 20:30:00+01:00,58154.11
2025-12-10 20:45:00+01:00,57114.93
2025-12-10 21:00:00+01:00,56370.65
2025-12-10 21:15:00+01:00,55725.54
2025-12-10 21:30:00+01:00,55140.12
2025-12-10 21:45:00+01:00,54434.36
2025-12-10 22:00:00+01:00,55431.6
2025-12-10 22:15:00+01:00,55072.38
2025-12-10 22:30:00+01:00,56347.16
2025-12-10 22:45:00+01:00,55987.19
2025-12-10 23:00:00+01:00,55955.08
2025-12-10 23:15:00+01:00,55240.75
2025-12-10 23:30:00+01:00,55860.84
2025-12-10 23:45:00+01:00,55070.8
